sprintId_y,totalNumberOfIssues,completedIssuesCount,completedIssuesEstimateSum,puntedIssues,SprintLength,sprintName,sprintState,avg_point_drift,llm_a3_result
1,23,11,18.0,6,21,Sprint 1,CLOSED,0.5454545454545454,"{
  ""summary"": ""Sprint 1 achieved 48% completion on 11/23 issues, with a strong velocity of 18 points and moderate drift."",
  ""key_insights"": [
    ""Strong velocity (18 points) despite short sprint; drift indicates some underestimation."",
    ""6 issues punted—review estimation for remaining tasks."",
    ""Moderate drift suggests need for more accurate planning.""
  ],
  ""action_items"": [
    ""Refine story points for remaining tasks in next sprint."",
    ""Discuss punt reasons in retro meeting."",
    ""Improve estimation accuracy for future sprints.""
  ]
}"
3,26,9,10.0,8,8,Sprint 2,CLOSED,0.09090909090909091,"{
  ""summary"": ""Sprint 2 completed 9/26 issues, achieving 35% completion with a velocity of 10.0 points."",
  ""key_insights"": [
    ""High punt rate (8 issues) indicates estimation challenges."",
    ""Low completion rate suggests scope may have been too ambitious."",
    ""Drift of 0.1 points indicates slight underestimation.""
  ],
  ""action_items"": [
    ""Review estimation techniques for future sprints."",
    ""Implement scope freeze in planning to avoid overcommitting."",
    ""Retrospective on issue prioritization.""
  ]
}"
4,23,15,72.0,4,6,Sprint 3,CLOSED,0.72,"{
  ""summary"": ""Sprint 3 delivered 65% of issues, with 72.0 points velocity and 0.7 drift."",
  ""key_insights"": [
    ""Strong velocity (72.0 points) despite short sprint."",
    ""4 issues punted—review estimation for remaining tasks."",
    ""0.7 drift indicates slight underestimation of story points.""
  ],
  ""action_items"": [
    ""Refine story points for remaining tasks in next sprint."",
    ""Discuss punt reasons in retro meeting."",
    ""Monitor velocity trend to ensure consistency.""
  ]
}"
5,48,28,58.0,10,8,Sprint 4,CLOSED,-0.17857142857142858,"{
  ""summary"": ""Sprint 4 achieved 58.3% completion on 28/48 issues, with a velocity of 58.0 points."",
  ""key_insights"": [
    ""Strong velocity (58.0 points) indicates accurate planning, despite short sprint length."",
    ""Negative drift (-0.2) suggests overestimation of initial story points."",
    ""10 issues punted, indicating scope creep or inaccurate estimation.""
  ],
  ""action_items"": [
    ""Review estimation process to prevent overestimation."",
    ""Implement scope freeze in planning to minimize punt rate."",
    ""Retrospective on issue triaging to improve estimation accuracy.""
  ]
}"
6,35,22,66.0,1,6,Sprint 5,CLOSED,-0.06,"{
  ""summary"": ""Sprint 5 delivered 63% of issues (22/35), achieving 66.0 points velocity with slight underestimation (-0.1 drift)."",
  ""key_insights"": [
    ""High completion rate despite short sprint length."",
    ""Single punt indicates accurate estimation for most issues."",
    ""Velocity trend shows consistent team performance.""
  ],
  ""action_items"": [
    ""Review estimation process to maintain consistent velocity."",
    ""Discuss punt reason in retro meeting.""
  ]
}"
8,61,57,151.0,1,14,Sprint 6,CLOSED,-0.07936507936507936,"{
  ""summary"": ""Sprint 6 achieved 93% completion rate on 94 total issues; velocity at 151 points; slight underestimation."",
  ""key_insights"": [
    ""Strong completion rate (93%) despite slight underestimation (-0.1 drift)."",
    ""Velocity maintained at 151 points, indicating stable team performance."",
    ""Only 1 issue punted; review estimation for similar tasks.""
  ],
  ""action_items"": [
    ""Review estimation process to prevent underestimation."",
    ""Discuss punt reasons in retro meeting."",
    ""Maintain high velocity through consistent team performance.""
  ]
}"
9,21,13,39.0,4,7,Sprint 7,CLOSED,-0.9230769230769231,"{
  ""summary"": ""Sprint 7 delivered 13/21 issues, achieving 62% completion with a high velocity of 39 points."",
  ""key_insights"": [
    ""Strong velocity (39 points) despite short sprint; drift indicates overestimation."",
    ""4 issues punted—review estimation for these tasks."",
    ""High completion rate suggests good team focus.""
  ],
  ""action_items"": [
    ""Refine story points for future sprints to improve estimation accuracy."",
    ""Discuss punt reasons in retro meeting to identify areas for improvement."",
    ""Review team's focus and priorities to maintain high completion rates.""
  ]
}"
10,26,23,107.0,1,6,Sprint 8,CLOSED,-0.3103448275862069,"{
  ""summary"": ""Sprint 8 achieved 88% completion on 23/26 issues, with high velocity (107.0 points) and negative drift (-0.3 points)."",
  ""key_insights"": [
    ""High velocity indicates strong team performance, but negative drift suggests overestimation of initial story points."",
    ""Single punt issue suggests accurate estimation for most tasks.""
  ],
  ""action_items"": [
    ""Review estimation process to improve accuracy and reduce drift."",
    ""Discuss punt reasons in retro meeting to identify areas for improvement.""
  ]
}"
11,241,22,48.0,102,7,Sprint 9,CLOSED,-0.2807017543859649,"{
  ""summary"": ""Sprint 9 delivered 22/241 issues, achieving 9% completion at 48.0 points velocity."",
  ""key_insights"": [
    ""Negative drift (-0.3 points) indicates underestimation; review initial story points."",
    ""High punt rate (42%) from scope creep; revisit issue prioritization."",
    ""Velocity maintained at 48.0 points despite short sprint.""
  ],
  ""action_items"": [
    ""Implement scope freeze in planning to reduce punts."",
    ""Retrospective on issue triaging and prioritization."",
    ""Refine story points for future sprints to improve estimation accuracy.""
  ]
}"
13,43,37,77.0,1,8,Sprint 10,CLOSED,-0.1282051282051282,"{
  ""summary"": ""Sprint 10 achieved 86% completion on 37/43 issues; strong velocity at 77.0 points."",
  ""key_insights"": [
    ""Strong velocity (77.0 points) maintained from previous sprints."",
    ""Negative drift (-0.1 points) indicates slight underestimation."",
    ""Only 1 issue punted—review estimation for remaining tasks.""
  ],
  ""action_items"": [
    ""Review estimation accuracy for future sprints."",
    ""Discuss punt reasons in retro meeting.""
  ]
}"
